spec,item,status,evidence
0.1,"sigma_D = 5.35 struck; not an input, bound, estimate or comparison target",COMPLETE,absent from every Round 5 module and from the frozen pre-registration
0.2,"excess_variance_over_shuffled from sd(Delta), never mean|Delta|",BLOCKED,requires the CTRL arm at matched steps; the statistic is defined from sd(Delta) in code and mean|Delta| is never used
0.3,no deterministic-vs-stochastic claim from the 19-step pilot,COMPLETE,the pilot contrast is not cited; 9 is a fresh pre-registered arm
0.4,length treated in all three required places,COMPLETE,C4 screening; raw-vs-residualized geometry; raw-vs-residualized attribution
1.2,"rule-change disclosure: new rule is post-Round-4, not pre-registered before it",COMPLETE,stated in RESULTS.md and in configs/base.yaml:calibration_retention.status
1.2,"old D1 rule kept and labelled superseded_for_calibration_stage, not deleted",COMPLETE,configs/base.yaml:d1_pre_registration retains every original value
2.1,no replacement candidates added; D1 not recomputed,COMPLETE,pool starts from the same four; D1 values carried forward unchanged
2.2,C1-C4 applied model-wise,COMPLETE,results/rm_calibration_r5.json
2.3,"InternLM2 marked C1 FAIL, not rescued, no threshold/precision/kernel change",COMPLETE,excluded on already-reproduced cross-process evidence
2.4,OpenAssistant cross-process C1 measured in two fresh processes,COMPLETE,bitwise equality required; distinct PIDs asserted
2.5,raw and length-residualized calibration geometry reported side by side,COMPLETE,results/rm_calibration_r5.json
2.6,pool-level C5 applied to S as a whole; no subset search,COMPLETE,min raw psi_eff = 67.29 deg >= 45
2.7,"final retention table with D1 covariates, M and chance",COMPLETE,reported in RESULTS.md
3.1,started from the existing 300 training pairs; no new data generated,COMPLETE,no training data was generated in this round
3.2,exact-serialization length check for every retained scorer and the policy path,COMPLETE,259/300 retained
3.3,"training set frozen (IDs, texts, policy, provenance, serializations, seeds)",COMPLETE,sha256 13b162d33744e054...
4.2,"600 fresh prompts, disjoint from training and calibration, same procedure",COMPLETE,"overlaps: 0 calibration, 0 training"
4.3,"final-holdout compatibility filter, retained fraction >= 0.60",COMPLETE,"N_final = 512, fraction 0.8533"
4.4,final holdout outcome-blind,COMPLETE,"frozen manifest; no pool, rule, hyperparameter or checkpoint chosen on it"
4.5,frozen calibration transforms applied out of sample,COMPLETE,mu/sd and length coefficients all from the 487 calibration probes
5.2,one arm per retained real reward model,COMPLETE,"arms: ['RM_OA-deberta', 'RM_gpt2-helpful', 'RM_gpt2-harmless']"
5.3,"stochastic BT labels, tau=2, standardized on training only, frozen seed",COMPLETE,"label balance, flip rate, mean |z| and Bayes ceiling reported per arm"
5.4,"J_perp built from training data only, |corr| < 0.05 on training",COMPLETE,training corr = +0.000000 by construction
5.4,"J_perp held-out length correlations reported, not tuned on",COMPLETE,"calibration -0.0486, final holdout -0.1757, reporting-only"
5.4,J_len deliberately not run this round,NOT APPLICABLE,"length handled by C4 and the raw-vs-residualized analysis, per the spec"
5.5,DPO configuration carried forward unchanged; entry gates asserted,COMPLETE,scorer invariance PASS; manifest and pre-registration verified before training
5.6,per-checkpoint transmission metrics recorded for every arm,COMPLETE,all 5.6 fields present; verified by a pre-run smoke test
5.7,sigma_D convergence rule applied; no single point unless it passes,BLOCKED,FJ trajectory drives the rule
6.1,primary nnls_mixture treated as a dataset-level fit,COMPLETE,probes never treated as independent NNLS trials
6.2,"candidates standardized by frozen calibration constants, not final outcomes",COMPLETE,4.5 transforms
6.3,"point-estimate attribution at every checkpoint, all three rules",COMPLETE,per_checkpoint block in each arm's attribution JSON
6.4,"10,000-permutation randomization test as the PRIMARY inference",COMPLETE,no binomial per-probe pseudo-trial test substituted
6.5,"5,000-resample bootstrap stability analysis",COMPLETE,"top-1 support, median S and 95% CI reported"
6.6,"per-probe win rate reported with exact binomial CI, descriptive only",COMPLETE,
6.7,length-residualized attribution robustness for every arm,COMPLETE,raw primary; residualized cannot rescue raw failure
7,pre-registration block written and frozen before the first DPO run,COMPLETE,configs/base.yaml:attribution_stage.pre_registration_round5
8.1,"one shuffled-label CTRL run, seed frozen, positive count preserved",BLOCKED,permutation of the reference labels
8.2,negative-control claim limited to the Lambda threshold,BLOCKED,no claim that one CTRL run proves top-1 equals chance
8.2,no extra shuffled seeds run to average away a control failure,COMPLETE,exactly one CTRL run exists
9,deterministic realism arm run only if its trigger fired,GATED - NOT TRIGGERED,trigger: all stochastic arms succeed AND CTRL passes -> not satisfied
10 F17,attribution trajectory,COMPLETE,
10 F18,inferential stability at final checkpoint,COMPLETE,
10 F19,candidate score profiles,COMPLETE,
10 F20,optimization versus generalization,COMPLETE,
10 F21,judge signal versus length,COMPLETE,
10 F22,sigma_D_ratio(t),COMPLETE,
10 F23,detection statistic,COMPLETE,
10 F24,raw versus length-residualized final attribution,COMPLETE,
